District	education	emergency	employment	energy	familyAndRelationships	health	irrelevant	ovc	socialPolicy	ureport	violenceAgainstChildren	water
Isingiro	0	0	0	0	6	0	5	8	5	10	3	12	0
Jinja	0	10	0	1	49	10	6	49	21	80	34	48	0
Kaabong	0	4	0	0	7	0	4	4	5	9	6	7	0
Kabale	1	16	0	2	22	8	6	22	17	40	28	38	0
Kabarole	3	21	0	9	41	5	9	48	22	68	27	54	0
Kaberamaido	2	9	0	2	16	6	4	11	10	25	7	24	0
Kalangala	1	1	0	1	6	1	1	5	3	6	3	6	0
Kaliro	0	4	0	0	7	1	2	6	3	24	9	8	0
Kalungu	1	2	0	1	8	3	1	7	4	14	7	17	0
Kampala	10	84	0	21	196	49	58	237	91	284	235	245	0
Kamuli	0	6	0	1	12	1	2	17	2	34	11	23	0
Kamwenge	0	9	0	0	16	8	10	18	8	30	25	25	0
Kanungu	0	3	0	0	12	2	1	11	7	14	10	10	0
Kapchorwa	1	1	0	2	10	1	0	5	4	14	8	6	0
Kasese	0	19	0	9	76	19	12	78	34	134	67	141	0
Katakwi	0	4	0	1	14	0	0	10	3	20	9	12	0
Kayunga	1	5	0	1	8	3	2	15	4	27	7	16	0
Kibaale	0	2	0	0	7	1	3	7	3	17	5	11	0
Kiboga	0	1	0	0	5	1	1	9	2	12	6	9	0
Kiruhura	0	9	0	0	13	2	3	9	10	29	13	23	0
Kiryandongo	2	6	0	0	15	6	12	21	13	52	23	31	0
Kisoro	1	2	0	0	11	0	0	4	6	21	17	10	0
Kitgum	3	14	0	0	15	11	7	44	6	50	12	29	0
Koboko	0	6	0	1	25	5	7	41	19	40	17	35	0
Kole	1	9	0	5	19	4	11	11	6	52	16	25	0
Kotido	0	3	0	0	9	0	2	6	0	8	7	9	0
Kumi	0	4	0	1	13	6	2	18	5	41	23	24	0
Kween	1	3	0	3	8	1	1	6	4	24	12	20	0
Kyankwanzi	2	2	0	0	5	1	1	4	2	8	5	5	0
Kyegegwa	0	10	0	1	13	1	1	7	5	18	9	12	0
Kyenjojo	1	9	0	1	14	7	7	10	7	28	21	30	0
Lamwo	1	3	0	1	10	2	1	14	5	38	11	16	0
Lira	2	31	0	6	55	14	16	60	22	126	52	97	0
Luuka	0	6	0	0	4	0	3	5	4	10	7	6	0
Luwero	0	3	0	1	8	5	3	18	7	68	21	29	0
Lwengo	1	3	0	2	9	30	3	18	6	15	10	12	0
Lyantonde	0	4	0	0	5	0	3	3	1	14	7	6	0
Manafwa	8	14	0	11	54	10	10	40	16	64	30	51	0
Masaka	0	7	0	6	14	6	4	16	6	39	11	19	0
Masindi	0	6	0	1	23	3	4	15	6	28	11	19	0
Mayuge	1	5	0	0	20	2	3	14	4	25	16	20	0
Mbale	7	40	0	18	81	15	27	105	32	153	71	127	0
Mbarara	1	18	0	2	48	13	7	48	28	84	49	57	0
Mitooma	2	2	0	2	11	3	4	11	8	23	15	15	0
Mityana	2	2	0	3	18	3	3	13	6	25	6	23	0
Moroto	0	5	0	0	7	1	0	11	2	16	5	15	0
Moyo	2	10	0	1	36	2	5	44	9	61	20	53	0
Mpigi	0	7	0	2	10	4	3	16	7	33	17	23	0
Mubende	5	4	0	1	10	2	3	17	4	24	15	19	0
Mukono	1	19	0	7	39	12	15	41	20	64	36	54	0
Nakapiripirit	0	3	0	1	4	2	1	11	2	5	5	10	0
Nakaseke	0	3	0	0	7	1	0	11	2	11	5	7	0
Nakasongola	1	1	0	1	5	2	1	5	8	15	6	7	0
Namayingo	0	2	0	3	9	1	1	5	1	18	8	7	0
Namutumba	0	2	0	1	9	3	3	8	3	15	3	7	0
Napak	0	2	0	0	1	1	1	2	0	8	2	12	0
Nebbi	3	27	0	4	53	14	7	41	27	115	40	60	0
Ngora	3	2	0	0	11	1	2	13	7	32	13	22	0
Ntoroko	0	0	0	1	5	0	3	1	0	10	11	6	0
Ntungamo	2	10	0	2	22	4	7	23	13	33	27	25	0
Nwoya	2	4	0	1	12	4	3	15	6	27	21	22	0
Maracha	0	5	0	0	12	2	2	6	6	28	7	13	0
Otuke	1	0	0	0	5	0	2	4	3	10	3	9	0
Oyam	2	30	0	9	54	13	17	67	25	157	58	101	0
Pallisa	3	8	0	9	26	7	6	18	16	54	16	29	0
Rakai	0	5	0	0	15	1	2	12	9	27	13	26	0
Rubirizi	0	2	0	0	6	1	2	2	1	13	2	4	0
Rukungiri	2	1	0	1	23	5	6	22	7	42	21	22	0
Ssembabule	2	3	0	0	6	0	2	9	5	13	4	6	0
Serere	0	7	0	0	14	4	2	11	12	39	8	16	0
Sheema	0	6	0	2	19	1	1	26	5	44	23	24	0
Sironko	0	2	0	2	21	5	3	11	11	39	15	15	0
Soroti	3	11	0	3	36	8	4	26	12	52	35	49	0
Tororo	7	33	0	6	51	14	12	43	35	124	56	86	0
Wakiso	3	65	0	11	131	32	33	160	69	263	142	174	0
Yumbe	1	6	0	0	28	3	4	10	11	54	6	36	0
Zombo	1	7	0	2	16	5	0	8	7	31	11	17	0
Pader	1	5	0	7	14	3	5	19	9	35	14	31	0
Kibuku	2	3	0	1	3	1	2	5	7	10	5	13	0
Buliisa	0	1	0	1	10	3	5	12	2	21	14	11	0
